Date,Open,High,Low,Close
"Apr 5, 2021",235.9,236.05,228.23,230.35
"Apr 6, 2021",230.1,232.18,227.12,230.54
"Apr 7, 2021",229,230.46,222.61,223.66
"Apr 8, 2021",225.79,229.85,223.88,227.93
"Apr 9, 2021",225.92,226.99,223.14,225.67
"Apr 12, 2021",228.57,234.93,227.36,233.99
"Apr 13, 2021",237.57,254.33,236.89,254.11
"Apr 14, 2021",256.9,260.26,242.68,244.08
"Apr 15, 2021",247.7,247.9,240.44,246.28
"Apr 16, 2021",242.88,249.8,241.53,246.59
"Apr 19, 2021",239.87,241.8,230.6,238.21
"Apr 20, 2021",239.14,245.75,236.9,239.66
"Apr 21, 2021",234.92,248.28,232.67,248.04
"Apr 22, 2021",247.17,251.26,239.35,239.9
"Apr 23, 2021",239.93,245.79,238.49,243.13
"Apr 26, 2021",247,249.77,244.2,246.07
"Apr 27, 2021",239.32,241.33,234.45,234.91
"Apr 28, 2021",232.14,236.17,231.2,231.47
"Apr 29, 2021",233.17,234.08,222.83,225.67
"Apr 30, 2021",222.53,238.49,222.05,236.48
"May 3, 2021",234.6,235.33,226.83,228.3
"May 4, 2021",226.31,227.82,219.23,224.53
"May 5, 2021",227.02,228.43,222.45,223.65
"May 6, 2021",226.92,227.01,216.67,221.18
"May 7, 2021",221.93,230,220.07,224.12
"May 10, 2021",221.63,221.68,209.2,209.68
"May 11, 2021",199.75,209.03,198.53,205.73
"May 12, 2021",200.83,206.8,195.59,196.63
"May 13, 2021",200.51,202.15,186.55,190.56
"May 14, 2021",194.47,197.62,190.15,196.58
"May 17, 2021",191.85,196.58,187.07,192.28
"May 18, 2021",189.33,198.75,187.79,192.62
"May 19, 2021",184.18,188.74,182.33,187.82
"May 20, 2021",191.67,196.28,190.36,195.59
"May 21, 2021",198.7,198.89,193.33,193.63
"May 24, 2021",193.87,204.83,191.22,202.15
"May 25, 2021",202.44,204.66,198.57,201.56
"May 26, 2021",202.52,208.72,200.5,206.38
"May 27, 2021",206.75,210.38,205.4,210.28
"May 28, 2021",209.5,211.86,207.46,208.41
"Jun 1, 2021",209.27,211.27,206.85,207.97
"Jun 2, 2021",206.71,207.79,199.71,201.71
"Jun 3, 2021",200.6,201.52,190.41,190.95
"Jun 4, 2021",193.24,200.2,192.4,199.68
"Jun 7, 2021",197.28,203.33,194.29,201.71
"Jun 8, 2021",207.67,207.7,198.5,201.2
